Transformation,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MedianBlur,5.0,2,2,5,4,3,3,3,5,3,2,5,2,6,4,5,2,0,3,5,1,2,2,5,0,1,3,7,3,2,3,6,3,5,6,2,2,3,3,8,2,3,5,6,4,4,3,1,3,3,5,5,3,3,6,3,2,2,3,1,2,3,1,1,3,2,5,5,4,4,1,5,2,1,2,3,2,5,2,6,1,3,0,3,5,2,3,3,8,2,5,3,1,4,2,4,3,3,2,1,0
MedianBlur,7.0,3,2,4,4,5,4,3,4,4,4,7,2,6,3,5,5,0,6,6,2,2,2,7,1,1,3,8,5,4,2,6,2,5,8,3,2,5,4,7,2,3,5,8,3,6,4,3,5,3,6,5,4,5,6,3,4,4,4,2,2,3,1,1,4,2,5,5,3,6,2,5,3,3,2,7,4,5,2,8,4,4,0,4,3,3,2,2,9,3,5,3,2,5,3,4,4,5,2,2,0
Resize,0.25,10,7,10,10,7,9,8,10,4,7,6,9,9,10,6,6,6,9,11,7,5,10,13,7,8,8,14,8,6,6,9,9,9,11,9,5,6,5,8,7,7,9,6,7,11,6,6,5,6,9,8,8,7,12,7,6,8,7,2,7,7,4,4,8,5,10,7,8,10,6,10,6,7,7,9,9,11,9,10,8,9,10,10,12,9,9,8,10,5,10,6,5,8,6,10,6,6,5,9,6
Resize,0.5,1,2,6,4,4,4,3,5,2,2,2,0,4,5,3,1,1,4,3,0,0,2,5,2,1,2,5,3,0,1,5,4,4,5,2,3,1,0,5,1,3,4,6,3,4,2,1,2,1,3,5,2,0,5,3,3,2,2,2,2,1,2,1,3,1,3,3,0,3,1,5,2,1,3,3,1,6,1,4,1,3,0,2,4,2,4,3,6,0,5,1,0,4,1,5,2,2,3,2,0
Resize,0.75,1,2,5,4,4,5,3,6,1,1,3,0,4,5,3,1,1,3,2,0,0,2,5,2,2,2,6,2,0,1,5,4,4,6,3,3,1,0,5,1,3,5,4,3,4,2,1,2,1,3,6,2,4,6,3,3,2,2,2,2,1,1,1,4,1,4,3,0,3,1,5,1,1,3,3,2,5,1,4,0,3,0,3,4,3,4,3,7,0,5,1,0,4,2,5,3,2,2,2,0
Resize,1.5,1,1,4,4,4,4,3,6,2,2,3,1,4,5,3,1,1,3,1,0,0,2,6,2,1,2,7,2,0,1,6,4,4,5,2,3,1,0,5,1,3,4,6,3,4,2,1,2,1,3,5,2,3,6,3,3,2,3,2,2,1,2,1,4,2,4,2,1,3,1,5,1,1,3,3,1,5,1,4,0,3,0,3,4,2,3,3,6,0,5,1,0,4,1,5,3,2,3,2,0
Resize,2.0,1,1,4,3,4,4,3,5,2,2,3,2,4,5,3,1,1,3,1,0,0,2,6,2,2,2,7,2,0,1,5,5,3,6,2,3,1,0,5,1,3,5,4,3,4,2,1,2,1,3,5,2,2,6,2,4,2,3,2,2,1,1,2,4,1,4,3,1,3,1,5,1,1,3,3,2,6,1,4,1,3,1,3,4,2,4,3,6,0,5,1,0,4,1,5,2,2,3,2,0
Saturation,0.5,4,2,6,4,3,6,6,9,2,2,8,1,4,4,6,5,2,3,6,5,0,3,6,3,1,5,11,10,7,6,8,3,4,7,3,6,2,4,8,4,2,4,10,4,6,2,2,4,3,4,8,2,1,8,5,2,3,5,3,3,4,3,3,7,3,5,6,1,5,4,1,3,4,3,7,6,8,4,7,4,3,1,5,6,6,6,5,11,6,3,4,2,6,3,5,3,4,3,1,1
Saturation,1.5,3,7,6,6,8,9,4,10,2,12,6,9,8,8,7,8,6,10,9,6,6,3,7,7,7,5,16,7,5,8,7,8,5,8,9,6,8,8,9,4,5,10,15,4,13,4,7,8,6,7,6,4,4,9,5,7,3,10,6,11,5,4,8,6,6,4,6,8,13,6,14,5,4,3,5,5,12,8,14,6,8,6,11,5,7,11,7,9,7,12,5,3,9,3,10,5,7,6,3,2
Saturation,2.0,15,12,17,18,13,17,14,21,14,16,20,15,15,16,17,13,24,22,17,20,14,13,24,13,11,12,27,17,10,20,14,16,11,13,12,13,13,16,15,10,10,20,24,10,21,17,20,13,24,13,13,14,8,23,11,14,11,19,20,20,12,16,12,13,11,17,12,14,24,15,26,14,11,14,13,14,16,21,32,12,15,14,18,10,16,17,12,11,14,21,9,15,16,10,17,9,12,10,7,9
Sharpness,0.5,1,2,4,4,4,4,3,5,2,2,3,1,4,4,3,1,1,2,2,0,0,2,6,2,2,2,5,3,0,1,5,4,4,3,2,3,1,0,5,1,2,3,4,3,4,2,1,2,1,3,5,2,1,6,3,3,2,2,2,2,1,1,1,4,1,3,2,1,3,1,4,1,1,3,3,1,6,0,4,0,3,0,3,4,3,3,3,6,0,4,1,0,4,0,4,2,2,3,2,0
Sharpness,1.5,1,3,5,4,4,4,4,6,3,2,2,2,4,6,3,2,1,4,3,0,0,2,6,2,2,2,7,3,0,2,7,4,4,6,2,3,1,0,5,1,2,4,5,3,4,2,1,2,1,3,6,2,4,7,3,3,2,3,2,3,1,1,2,3,1,4,4,0,4,1,6,1,1,3,3,1,6,1,4,0,4,2,3,4,2,3,3,6,0,5,1,2,5,1,5,2,2,2,2,0
Sharpness,2.0,1,3,6,4,3,4,4,6,3,2,3,1,5,5,4,2,1,5,2,0,1,3,7,2,2,3,8,3,0,3,7,4,4,6,3,3,3,0,5,1,5,6,9,3,4,2,1,3,1,3,7,2,3,7,3,3,3,3,2,3,1,3,2,4,1,4,4,1,5,1,7,2,1,4,3,2,6,1,5,1,5,2,3,3,2,5,3,6,0,6,1,2,6,2,6,2,2,2,2,1
WebP,50.0,4,3,9,5,3,5,4,8,4,3,3,1,5,8,8,5,1,4,2,1,2,3,6,3,3,5,9,6,6,6,9,4,5,8,4,3,3,1,6,2,5,5,8,3,5,5,1,3,1,5,7,2,3,6,4,5,3,6,1,3,3,3,3,7,2,4,6,3,9,2,5,1,4,3,4,1,7,3,6,3,7,3,3,4,4,5,6,7,4,6,5,3,9,0,7,3,3,3,4,1
WebP,70.0,1,3,6,5,4,5,5,7,3,2,3,2,5,6,7,4,1,4,3,1,0,3,7,3,3,6,8,7,4,5,9,3,4,7,5,2,2,0,8,3,3,6,6,3,5,2,1,3,1,5,6,2,1,7,3,4,4,4,3,4,1,2,2,5,3,4,6,2,7,2,7,3,2,3,4,2,8,2,6,4,5,2,4,4,3,5,4,7,2,4,3,1,7,1,6,3,3,2,2,0
WebP,90.0,1,3,6,4,3,4,4,6,2,2,3,2,6,4,3,5,1,4,2,0,1,2,7,2,2,2,6,4,2,4,6,4,4,6,3,3,2,0,7,1,3,4,5,3,5,2,2,3,1,3,6,2,0,7,3,3,2,3,2,2,1,2,2,5,1,2,6,0,6,1,5,2,3,3,3,1,7,2,6,1,4,3,3,3,2,4,3,7,1,4,3,1,7,1,5,2,2,3,1,0
