Row,Burstiness Ratio,Average Gap,Run Lengths
1045,0.16666666666666666,15.333333333333334,"[1, 1, 1, 3, 1, 1]"
1046,0.0,16.5,"[1, 1, 1]"
1047,0.0,0.0,[1]
1048,0.0,0.0,[1]
1049,0.0,42.0,"[1, 1, 1]"
1050,0.0,10.222222222222221,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1051,0.1111111111111111,10.222222222222221,"[1, 1, 1, 1, 1, 1, 2, 1, 1]"
1053,0.0,0.0,[1]
1054,0.0,25.0,"[1, 1]"
1055,0.0,0.0,[1]
1056,0.0,0.0,[1]
1057,0.0,38.0,"[1, 1]"
1061,0.0,0.0,[1]
1062,0.0,0.0,[1]
1063,0.0,0.0,[1]
1085,0.0,0.0,[1]
1086,0.0,4.0,"[1, 1]"
1088,0.0,13.0,"[1, 1, 1]"
1089,0.14285714285714285,10.0,"[1, 1, 1, 1, 3, 1, 1]"
1103,0.0,0.0,[1]
1114,0.0,0.0,[1]
1121,0.0,0.0,[1]
1123,0.0,17.5,"[1, 1, 1, 1, 1]"
1124,0.0,36.0,"[1, 1, 1]"
1125,0.0,0.0,[1]
1126,0.0,17.0,"[1, 1]"
1127,0.4,11.8,"[3, 2, 1, 1]"
1140,0.0,0.0,[1]
1158,0.0,0.0,[1]
1159,0.0,0.0,[1]
1161,0.30434782608695654,4.130434782608695,"[1, 5, 1, 3, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 3, 1, 1]"
1162,0.5588235294117647,2.7941176470588234,"[7, 3, 1, 1, 4, 8, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1]"
1164,0.25,10.0,"[1, 1, 3, 1]"
1165,0.375,5.8125,"[1, 1, 1, 3, 1, 2, 1, 3, 6, 1, 1]"
1199,0.5384615384615384,3.769230769230769,"[1, 1, 1, 9, 3, 1, 9, 1, 3, 1, 1, 2, 3]"
1200,0.5454545454545454,2.9393939393939394,"[1, 3, 1, 1, 1, 1, 6, 4, 2, 4, 1, 1, 5, 4, 4, 4]"
1216,0.0,25.0,"[1, 1, 1]"
1217,0.0,25.5,"[1, 1, 1]"
1218,0.0,25.5,"[1, 1, 1]"
1219,0.0,25.5,"[1, 1, 1]"
1220,0.0,25.5,"[1, 1, 1]"
1221,0.0,25.5,"[1, 1, 1]"
1222,0.0,25.5,"[1, 1, 1]"
1223,0.0,25.5,"[1, 1, 1]"
1224,0.0,25.5,"[1, 1, 1]"
1225,0.0,25.5,"[1, 1, 1]"
1226,0.0,25.5,"[1, 1, 1]"
1227,0.0,25.5,"[1, 1, 1]"
1228,0.0,25.5,"[1, 1, 1]"
1229,0.3333333333333333,17.0,"[3, 1, 1]"
