Threshold,TPR,FPR,ACC,Precision,Recall,F1-score
91,41.1,0.1,70.5,99.75728155339804,41.1,58.21529745042493
92,40.7,0.1,70.3,99.75490196078431,40.7,57.81250000000001
93,40.3,0.1,70.10000000000001,99.75247524752474,40.3,57.4074074074074
94,39.5,0.1,69.7,99.74747474747474,39.5,56.59025787965616
95,38.4,0.1,69.15,99.74025974025975,38.4,55.45126353790613
96,38.1,0.1,69.0,99.73821989528795,38.1,55.137481910274964
97,37.0,0.1,68.45,99.73045822102425,37.0,53.97520058351567
98,36.1,0.1,68.0,99.72375690607734,36.1,53.01027900146843
99,35.5,0.1,67.7,99.71910112359551,35.5,52.3598820058997
100,34.8,0.1,67.35000000000001,99.7134670487106,34.8,51.59377316530763
101,33.9,0.1,66.9,99.70588235294117,33.9,50.59701492537314
102,33.0,0.1,66.45,99.69788519637461,33.0,49.58677685950413
103,31.3,0.1,65.60000000000001,99.68152866242038,31.3,47.64079147640791
104,30.5,0.1,65.2,99.67320261437908,30.5,46.70750382848392
105,29.7,0.1,64.8,99.66442953020135,29.7,45.76271186440678
106,28.8,0.1,64.35000000000001,99.65397923875432,28.8,44.68580294802172
107,28.0,0.1,63.95,99.64412811387899,28.0,43.71584699453552
108,26.6,0.1,63.25,99.625468164794,26.6,41.988950276243095
109,25.6,0.1,62.75,99.61089494163423,25.6,40.73190135242642
110,24.8,0.1,62.35,99.59839357429718,24.8,39.71176941553242
111,24.0,0.1,61.95,99.58506224066389,24.0,38.6784850926672
112,22.4,0.1,61.150000000000006,99.55555555555556,22.4,36.57142857142857
113,20.9,0.1,60.400000000000006,99.52380952380952,20.9,34.54545454545454
114,19.2,0.1,59.550000000000004,99.48186528497409,19.2,32.187761944677284
115,18.6,0.1,59.25,99.46524064171123,18.6,31.339511373209778
116,17.3,0.1,58.6,99.42528735632183,17.3,29.471890971039183
117,15.8,0.1,57.85,99.37106918238993,15.8,27.2648835202761
118,15.1,0.1,57.5,99.3421052631579,15.1,26.21527777777778
119,13.9,,,0.0,13.9,0.0
120,13.2,,,0.0,13.2,0.0
121,12.0,,,0.0,12.0,0.0
122,11.2,,,0.0,11.2,0.0
123,9.59999999999999,,,0.0,9.59999999999999,0.0
124,8.8,,,0.0,8.8,0.0
125,8.09999999999999,,,0.0,8.09999999999999,0.0
126,7.40000000000001,,,0.0,7.40000000000001,0.0
127,6.8,,,0.0,6.8,0.0
128,5.7,,,0.0,5.7,0.0
129,5.0,,,0.0,5.0,0.0
130,4.09999999999999,,,0.0,4.09999999999999,0.0
131,2.90000000000001,,,0.0,2.90000000000001,0.0
132,2.40000000000001,,,0.0,2.40000000000001,0.0
133,1.8,,,0.0,1.8,0.0
134,1.7,,,0.0,1.7,0.0
135,1.5,,,0.0,1.5,0.0
136,1.2,,,0.0,1.2,0.0
137,1.0,,,0.0,1.0,0.0
138,0.799999999999997,,,0.0,0.799999999999997,0.0
139,0.599999999999994,,,0.0,0.599999999999994,0.0
140,0.400000000000006,,,0.0,0.400000000000006,0.0
141,0.400000000000006,,,0.0,0.400000000000006,0.0
142,0.400000000000006,,,0.0,0.400000000000006,0.0
143,0.400000000000006,,,0.0,0.400000000000006,0.0
144,0.200000000000003,,,0.0,0.200000000000003,0.0
145,0.200000000000003,,,0.0,0.200000000000003,0.0
146,0.200000000000003,,,0.0,0.200000000000003,0.0
147,0.200000000000003,,,0.0,0.200000000000003,0.0
148,0.099999999999994,,,0.0,0.099999999999994,0.0
149,0.099999999999994,,,0.0,0.099999999999994,0.0
150,0.099999999999994,,,0.0,0.099999999999994,0.0
151,0.099999999999994,,,0.0,0.099999999999994,0.0
152,0.099999999999994,,,0.0,0.099999999999994,0.0
153,0.099999999999994,,,0.0,0.099999999999994,0.0
154,0.099999999999994,,,0.0,0.099999999999994,0.0
155,0.099999999999994,,,0.0,0.099999999999994,0.0
156,0.099999999999994,,,0.0,0.099999999999994,0.0
157,0.099999999999994,,,0.0,0.099999999999994,0.0
158,0.099999999999994,,,0.0,0.099999999999994,0.0
159,0.099999999999994,,,0.0,0.099999999999994,0.0
160,0.099999999999994,,,0.0,0.099999999999994,0.0
161,0.099999999999994,,,0.0,0.099999999999994,0.0
162,0.099999999999994,,,0.0,0.099999999999994,0.0
163,0.099999999999994,,,0.0,0.099999999999994,0.0
164,0.099999999999994,,,0.0,0.099999999999994,0.0
165,0.099999999999994,,,0.0,0.099999999999994,0.0
166,0.099999999999994,,,0.0,0.099999999999994,0.0
167,0.099999999999994,,,0.0,0.099999999999994,0.0
168,0.099999999999994,,,0.0,0.099999999999994,0.0
169,0.099999999999994,,,0.0,0.099999999999994,0.0
170,0.099999999999994,,,0.0,0.099999999999994,0.0
171,0.099999999999994,,,0.0,0.099999999999994,0.0
172,0.099999999999994,,,0.0,0.099999999999994,0.0
173,0.099999999999994,,,0.0,0.099999999999994,0.0
174,0.099999999999994,,,0.0,0.099999999999994,0.0
175,0.099999999999994,,,0.0,0.099999999999994,0.0
176,0.099999999999994,,,0.0,0.099999999999994,0.0
177,0.099999999999994,,,0.0,0.099999999999994,0.0
178,0.099999999999994,,,0.0,0.099999999999994,0.0
179,0.099999999999994,,,0.0,0.099999999999994,0.0
180,0.099999999999994,,,0.0,0.099999999999994,0.0
181,0.099999999999994,,,0.0,0.099999999999994,0.0
182,0.099999999999994,,,0.0,0.099999999999994,0.0
183,0.099999999999994,,,0.0,0.099999999999994,0.0
184,0.099999999999994,,,0.0,0.099999999999994,0.0
185,0.099999999999994,,,0.0,0.099999999999994,0.0
186,0.099999999999994,,,0.0,0.099999999999994,0.0
187,0.099999999999994,,,0.0,0.099999999999994,0.0
188,0.099999999999994,,,0.0,0.099999999999994,0.0
189,0.099999999999994,,,0.0,0.099999999999994,0.0
190,0.099999999999994,,,0.0,0.099999999999994,0.0
191,0.099999999999994,,,0.0,0.099999999999994,0.0
